_time,host,user,process_name,details
2026-05-02 09:00:00,HR-WS11,finance.aarti,outlook.exe,normal activity
2026-05-02 09:00:23,FIN-WS23,sales.vikram,acrord32.exe,normal activity
2026-05-02 09:00:46,IT-ADM01,finance.aarti,chrome.exe,normal activity
2026-05-02 09:01:09,SAL-WS07,hr.neha,teams.exe,normal activity
2026-05-02 09:01:32,IT-ADM01,it.rahul,acrord32.exe,normal activity
2026-05-02 09:01:55,HR-WS11,sales.vikram,onedrive.exe,normal activity
2026-05-02 09:02:18,IT-ADM01,sales.vikram,excel.exe,normal activity
2026-05-02 09:02:41,FIN-WS23,sales.vikram,chrome.exe,normal activity
2026-05-02 09:03:04,SAL-WS07,hr.neha,teams.exe,normal activity
2026-05-02 09:03:27,IT-ADM01,sales.vikram,acrord32.exe,normal activity
2026-05-02 09:03:50,IT-ADM01,hr.neha,outlook.exe,normal activity
2026-05-02 09:04:13,HR-WS11,finance.aarti,onedrive.exe,normal activity
2026-05-02 09:04:36,HR-WS11,hr.neha,excel.exe,normal activity
2026-05-02 09:04:59,IT-ADM01,hr.neha,acrord32.exe,normal activity
2026-05-02 09:05:22,IT-ADM01,it.rahul,teams.exe,normal activity
2026-05-02 09:05:45,IT-ADM01,hr.neha,teams.exe,normal activity
2026-05-02 09:06:08,IT-ADM01,it.rahul,onedrive.exe,normal activity
2026-05-02 09:06:31,IT-ADM01,hr.neha,onedrive.exe,normal activity
2026-05-02 09:06:54,HR-WS11,finance.aarti,outlook.exe,normal activity
2026-05-02 09:07:17,IT-ADM01,hr.neha,chrome.exe,normal activity
2026-05-02 09:07:40,FIN-WS23,hr.neha,outlook.exe,normal activity
2026-05-02 09:08:03,HR-WS11,hr.neha,outlook.exe,normal activity
2026-05-02 09:08:26,HR-WS11,sales.vikram,excel.exe,normal activity
2026-05-02 09:08:49,SAL-WS07,hr.neha,teams.exe,normal activity
2026-05-02 09:09:12,SAL-WS07,finance.aarti,acrord32.exe,normal activity
2026-05-02 09:09:35,FIN-WS23,sales.vikram,teams.exe,normal activity
2026-05-02 09:09:58,SAL-WS07,finance.aarti,excel.exe,normal activity
2026-05-02 09:10:21,FIN-WS23,sales.vikram,excel.exe,normal activity
2026-05-02 09:10:44,HR-WS11,it.rahul,acrord32.exe,normal activity
2026-05-02 09:11:07,HR-WS11,it.rahul,chrome.exe,normal activity
2026-05-02 09:11:30,FIN-WS23,finance.aarti,chrome.exe,normal activity
2026-05-02 09:11:53,SAL-WS07,sales.vikram,outlook.exe,normal activity
2026-05-02 09:12:16,FIN-WS23,it.rahul,chrome.exe,normal activity
2026-05-02 09:12:39,SAL-WS07,hr.neha,excel.exe,normal activity
2026-05-02 09:13:02,FIN-WS23,hr.neha,teams.exe,normal activity
2026-05-02 09:13:25,SAL-WS07,finance.aarti,excel.exe,normal activity
2026-05-02 09:13:48,HR-WS11,finance.aarti,onedrive.exe,normal activity
2026-05-02 09:14:03,MAIL-GW,finance.aarti,smtp,Mail received from billing@micr0soft-support.com Subject=Pending Invoice Notice Attachment=Invoice_April_2026.docm
2026-05-02 09:14:11,FIN-WS23,it.rahul,acrord32.exe,normal activity
2026-05-02 09:14:34,SAL-WS07,finance.aarti,chrome.exe,normal activity
2026-05-02 09:14:57,FIN-WS23,it.rahul,onedrive.exe,normal activity
2026-05-02 09:15:20,FIN-WS23,it.rahul,excel.exe,normal activity
2026-05-02 09:15:43,FIN-WS23,finance.aarti,teams.exe,normal activity
2026-05-02 09:16:06,SAL-WS07,finance.aarti,onedrive.exe,normal activity
2026-05-02 09:16:11,FIN-WS23,finance.aarti,WINWORD.EXE,Opened Invoice_April_2026.docm
2026-05-02 09:16:18,FIN-WS23,finance.aarti,powershell.exe,Spawned by WINWORD.EXE -enc SQBFAFgA
2026-05-02 09:16:24,FIN-WS23,finance.aarti,powershell.exe,Downloaded stage from hxxp://198.51.100.24/a.ps1
2026-05-02 09:16:29,IT-ADM01,sales.vikram,onedrive.exe,normal activity
2026-05-02 09:16:52,IT-ADM01,it.rahul,acrord32.exe,normal activity
2026-05-02 09:17:15,IT-ADM01,finance.aarti,acrord32.exe,normal activity
2026-05-02 09:17:38,SAL-WS07,it.rahul,excel.exe,normal activity
2026-05-02 09:18:01,IT-ADM01,it.rahul,outlook.exe,normal activity
2026-05-02 09:18:24,HR-WS11,finance.aarti,teams.exe,normal activity
2026-05-02 09:18:47,FIN-WS23,hr.neha,outlook.exe,normal activity
2026-05-02 09:19:10,FIN-WS23,sales.vikram,chrome.exe,normal activity
2026-05-02 09:19:33,SAL-WS07,hr.neha,excel.exe,normal activity
2026-05-02 09:19:56,FIN-WS23,it.rahul,onedrive.exe,normal activity
2026-05-02 09:20:19,IT-ADM01,finance.aarti,outlook.exe,normal activity
2026-05-02 09:20:42,SAL-WS07,it.rahul,chrome.exe,normal activity
2026-05-02 09:21:05,FIN-WS23,finance.aarti,teams.exe,normal activity
2026-05-02 09:21:28,FIN-WS23,finance.aarti,outlook.exe,normal activity
2026-05-02 09:21:51,FIN-WS23,hr.neha,onedrive.exe,normal activity
2026-05-02 09:22:14,FIN-WS23,it.rahul,chrome.exe,normal activity
2026-05-02 09:22:37,FIN-WS23,sales.vikram,excel.exe,normal activity
